                    	RMSE	Pearson	p	NLPD
      rbf_None_False	3.9759	0.2145	0.0000	2.7993
       rbf_None_True	3.9420	0.2458	0.0000	2.7906
       rbf_log_False	3.9834	0.2125	0.0000	2.1889
        rbf_log_True	3.9772	0.2187	0.0000	2.1872
     rbf_tanh1_False	4.0195	0.1794	0.0000	2.1794
      rbf_tanh1_True	3.9946	0.2042	0.0000	2.1672
     rbf_tanh2_False	3.9844	0.2098	0.0000	2.1529
      rbf_tanh2_True	3.9889	0.2053	0.0000	2.1517
     rbf_tanh3_False	4.2e+05	0.1520	0.0027	2.1458
      rbf_tanh3_True	4.0145	0.2021	0.0441	2.1478
    mat32_None_False	3.9642	0.2310	0.0000	2.7965
     mat32_None_True	3.9366	0.2526	0.0000	2.7892
     mat32_log_False	3.9630	0.2293	0.0000	2.1821
      mat32_log_True	3.9713	0.2227	0.0000	2.1847
   mat32_tanh1_False	4.0005	0.1976	0.0000	2.1729
    mat32_tanh1_True	3.9799	0.2163	0.0000	2.1755
   mat32_tanh2_False	3.9710	0.2212	0.0000	2.1476
    mat32_tanh2_True	3.9667	0.2241	0.0000	2.1461
   mat32_tanh3_False	3.9703	0.2208	0.0000	2.1418
    mat32_tanh3_True	4.1189	0.1703	0.0718	2.1454
    mat52_None_False	3.9715	0.2207	0.0000	2.7982
     mat52_None_True	3.8097	0.3012	0.0000	2.7558
     mat52_log_False	3.9745	0.2197	0.0000	2.1860
      mat52_log_True	3.9747	0.2204	0.0000	2.1862
   mat52_tanh1_False	4.0194	0.1795	0.0000	2.1794
    mat52_tanh1_True	3.9881	0.2087	0.0000	2.1664
   mat52_tanh2_False	3.9788	0.2149	0.0000	2.1505
    mat52_tanh2_True	3.9743	0.2165	0.0000	2.1502
   mat52_tanh3_False	3.9686	0.2222	0.0000	2.1427
    mat52_tanh3_True	3.9896	0.2165	0.0000	2.1446
