                    	RMSE	Pearson	p	NLPD
      rbf_None_False	0.6663	0.3563	0.0000	1.0127
       rbf_None_True	0.6673	0.3500	0.0000	1.0140
       rbf_log_False	0.7069	0.3102	0.0000	0.8480
        rbf_log_True	0.7038	0.3192	0.0000	0.8459
     rbf_tanh1_False	0.6703	0.3398	0.0000	0.8115
      rbf_tanh1_True	0.6739	0.3245	0.0000	0.8161
     rbf_tanh2_False	0.6722	0.3307	0.0000	0.7337
      rbf_tanh2_True	4.3e+11	0.2570	0.0000	0.7356
     rbf_tanh3_False	2.1e+11	0.2584	0.0426	0.7335
      rbf_tanh3_True	0.6580	0.3870	0.0000	0.7154
    mat32_None_False	0.6633	0.3688	0.0000	1.0084
     mat32_None_True	0.6682	0.3470	0.0000	1.0156
     mat32_log_False	0.7029	0.3177	0.0000	0.8453
      mat32_log_True	0.7013	0.3252	0.0000	0.8434
   mat32_tanh1_False	0.6672	0.3530	0.0000	0.8063
    mat32_tanh1_True	0.6700	0.3404	0.0000	0.8100
   mat32_tanh2_False	2.2e+10	0.2484	0.0000	0.7304
    mat32_tanh2_True	8.0e+11	0.2706	0.0000	0.7442
   mat32_tanh3_False	1.1e+10	0.2913	0.0000	0.7279
    mat32_tanh3_True	0.6507	0.4139	0.0000	0.7027
    mat52_None_False	0.6662	0.3565	0.0000	1.0127
     mat52_None_True	0.6685	0.3454	0.0000	1.0162
     mat52_log_False	0.7060	0.3115	0.0000	0.8478
      mat52_log_True	0.7032	0.3204	0.0000	0.8453
   mat52_tanh1_False	0.6696	0.3426	0.0000	0.8103
    mat52_tanh1_True	1.1e+12	0.2786	0.0000	0.8196
   mat52_tanh2_False	1.2887	0.3002	0.0000	0.7337
    mat52_tanh2_True	1.5e+12	0.2833	0.0000	0.7634
   mat52_tanh3_False	5.8e+08	0.1829	0.0000	0.7321
    mat52_tanh3_True	3.1e+03	0.3618	0.0248	0.6938
