                    	RMSE	Pearson	p	NLPD
      rbf_None_False	1.1645	0.4742	0.0000	1.5704
       rbf_None_True	1.1405	0.5046	0.0000	1.5486
       rbf_log_False	1.1808	0.4505	0.0000	1.2410
        rbf_log_True	1.1767	0.4552	0.0000	1.2394
     rbf_tanh1_False	1.1927	0.4303	0.0000	1.2501
      rbf_tanh1_True	1.1905	0.4336	0.0000	1.2485
     rbf_tanh2_False	1.1895	0.4353	0.0000	1.2418
      rbf_tanh2_True	1.2704	0.4100	0.0023	1.2387
     rbf_tanh3_False	1.1750	0.4582	0.0000	1.2331
      rbf_tanh3_True	1.1730	0.4612	0.0000	1.2356
    mat32_None_False	1.1508	0.4954	0.0000	1.5591
     mat32_None_True	1.0472	0.6175	0.0000	1.4700
     mat32_log_False	1.1712	0.4655	0.0000	1.2345
      mat32_log_True	1.1655	0.4722	0.0000	1.2316
   mat32_tanh1_False	1.1873	0.4387	0.0000	1.2467
    mat32_tanh1_True	1.1860	0.4404	0.0000	1.2459
   mat32_tanh2_False	1.1816	0.4477	0.0000	1.2351
    mat32_tanh2_True	1.1682	0.4693	0.0000	1.2404
   mat32_tanh3_False	1.2534	0.3889	0.0000	1.2299
    mat32_tanh3_True	2.8e+13	0.3965	0.0000	3.9735
    mat52_None_False	1.1579	0.4845	0.0000	1.5649
     mat52_None_True	1.0808	0.5757	0.0000	1.4979
     mat52_log_False	1.1765	0.4570	0.0000	1.2383
      mat52_log_True	1.1710	0.4635	0.0000	1.2356
   mat52_tanh1_False	1.1923	0.4308	0.0000	1.2499
    mat52_tanh1_True	1.1899	0.4343	0.0000	1.2486
   mat52_tanh2_False	1.1854	0.4418	0.0000	1.2386
    mat52_tanh2_True	1.1749	0.4578	0.0000	1.2393
   mat52_tanh3_False	1.2554	0.3895	0.0000	1.2312
    mat52_tanh3_True	1.1708	0.4644	0.0000	1.2307
